Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Total_Score
S1145,Omar,Johnson,student145@university.com,Male,22,CS,73,66.25,99.24,59.61,53.71,64.865
S1146,John,Johnson,student146@university.com,Female,24,CS,89.12,41.38,93.81,60.77,77.2,69.5955
S1147,John,Davis,student147@university.com,Male,23,Business,65.46,60.81,80.84,63.12,65.52,72.633
S1148,Ali,Davis,student148@university.com,Female,20,CS,82.16,81.94,79.92,78.83,99.64,87.8815
S1149,Liam,Smith,student149@university.com,Female,22,Engineering,94.11,45.41,56.48,77.42,81.55,64.38799999999999
S1150,John,Johnson,student150@university.com,Male,18,CS,70.11,93.3,86.12,63.69,62.21,73.1925
S1151,John,Smith,student151@university.com,Male,21,Engineering,53.33,94.57,80.01,84.7,55.13,70.321
S1152,Ali,Davis,student152@university.com,Male,23,Mathematics,75.8,46.3,75.35,94.45,52.04,62.992000000000004
S1153,John,Jones,student153@university.com,Female,22,Engineering,67.3,99.44,84.66,52.18,54.54,70.3875
S1154,Ahmed,Brown,student154@university.com,Male,20,Mathematics,83.61,57.85,72.2,70.86,84,72.54599999999999
S1155,Sara,Smith,student155@university.com,Male,21,Mathematics,97.55,45.05,76.19,79.68,92.75,77.9165
S1156,Omar,Jones,student156@university.com,Female,24,Engineering,74.28,40.3,69.92,79.32,57.84,61.622
S1157,Sara,Brown,student157@university.com,Female,20,Mathematics,73.31,64.51,85.87,50.98,70.11,73.283
S1158,Ali,Williams,student158@university.com,Male,21,Engineering,82.73,77.79,93.83,60.53,67.71,71.8215
S1159,Maria,Smith,student159@university.com,Male,24,Business,55.17,59.93,92.04,53.09,82.23,76.0085
S1160,Omar,Smith,student160@university.com,Male,24,Mathematics,62.68,90.2,89.3,78.45,59.13,65.054
S1161,Ali,Williams,student161@university.com,Male,23,Engineering,95.95,83,50.69,82.27,97.67,83.509
S1162,Liam,Williams,student162@university.com,Female,20,Mathematics,83.5,61.01,95.59,57.99,86.43,75.338
S1163,Maria,Smith,student163@university.com,Female,22,CS,50.67,84.06,63.74,66.65,97.75,74.43
S1164,Sara,Williams,student164@university.com,Male,22,Engineering,60.23,96.43,94.4,66.49,63.87,74.9845
S1165,Ali,Johnson,student165@university.com,Male,18,CS,84.14,45.59,59.85,90.99,79.39,66.30199999999999
S1166,Liam,Brown,student166@university.com,Male,21,Mathematics,88.22,58.37,71.98,59.73,86.61,75.681
S1167,Omar,Brown,student167@university.com,Female,18,Mathematics,91.99,67.8,87.47,77.42,85.55,76.83000000000001
S1168,Omar,Brown,student168@university.com,Male,19,Business,64.61,69.88,82.01,89.15,51.07,68.752
S1169,Emma,Johnson,student169@university.com,Male,22,Engineering,96.55,72.53,70.8,91.48,99.91,75.9855
S1170,Liam,Williams,student170@university.com,Female,21,CS,77.65,58.04,83.93,83.33,96.4,75.426
S1171,Ahmed,Jones,student171@university.com,Female,23,Business,84.83,80.04,77.45,64.98,55.99,65.02850000000001
S1172,John,Williams,student172@university.com,Male,18,Mathematics,79.84,78.71,63.79,91.15,77.18,73.1315
S1173,Maria,Smith,student173@university.com,Male,23,Mathematics,56.14,74.67,82.32,87.11,65.73,75.7835
S1174,Liam,Davis,student174@university.com,Female,23,Business,98.16,46.83,60.21,85.22,93.94,74.35749999999999
S1175,Emma,Brown,student175@university.com,Male,23,CS,56.14,68.62,84.7,53.37,84.88,81.064
S1176,John,Williams,student176@university.com,Male,18,Mathematics,62.74,61.37,50.16,52.16,61.18,64.03200000000001
S1177,John,Jones,student177@university.com,Female,19,Mathematics,90.68,69.46,77.44,84.77,51.69,72.5165
S1178,Ali,Smith,student178@university.com,Female,24,Engineering,80.93,95.31,70.05,97.24,64.59,68.915
S1179,John,Johnson,student179@university.com,Female,24,Business,91.91,68.83,65.16,88.69,51.91,59.7955
S1180,Ahmed,Johnson,student180@university.com,Male,18,Mathematics,75.79,40.84,75.79,91.57,57.07,61.50750000000001
S1181,Omar,Jones,student181@university.com,Female,24,CS,68.85,66.33,82.27,77.25,81.81,69.90799999999999
S1182,Emma,Smith,student182@university.com,Female,20,Engineering,96.09,89.24,98.27,65.23,87.25,81.782
S1183,John,Brown,student183@university.com,Male,24,Business,51.81,86.8,91.65,83.89,73.4,77.6165
S1184,Ali,Williams,student184@university.com,Male,22,CS,92.81,70.8,85.86,85.6,80.01,75.547
S1185,Ahmed,Smith,student185@university.com,Female,18,Mathematics,61.54,54.99,73.95,83.77,57.79,67.9125
S1186,Sara,Johnson,student186@university.com,Female,24,Business,92.44,67.91,69.61,97.34,65.84,78.149
S1187,Omar,Jones,student187@university.com,Male,18,Business,56.96,73.82,51.63,68.36,85.64,76.6455
S1188,Omar,Jones,student188@university.com,Male,19,CS,79.01,99.99,67.95,51.98,68.24,64.666
S1189,Emma,Williams,student189@university.com,Female,20,Business,94.41,78.65,92.42,95.42,67.44,74.307
S1190,Omar,Jones,student190@university.com,Female,18,CS,73.68,81.66,69.2,58.02,59.7,60.2085
S1191,John,Jones,student191@university.com,Male,22,Mathematics,87.33,69.49,73.08,84.87,79.74,69.842
S1192,Ali,Smith,student192@university.com,Female,24,Engineering,90.23,61.27,63.59,93.66,90.48,75.854
S1193,Omar,Brown,student193@university.com,Male,22,CS,86.82,88.78,63.71,65.51,73.47,71.65050000000001
S1194,Omar,Williams,student194@university.com,Female,24,Engineering,96.27,69.7,53.09,91.52,55.78,59.417
S1195,Sara,Smith,student195@university.com,Male,18,Business,72.34,99.68,80.69,66.6,91.92,82.834
S1196,Sara,Brown,student196@university.com,Male,23,CS,58.66,67.43,72.4,89.71,53.57,68.679
S1197,Maria,Smith,student197@university.com,Female,24,Mathematics,52.39,44.08,80.3,53.49,73.59,58.352999999999994
S1198,Ahmed,Davis,student198@university.com,Female,23,CS,62.32,80.95,77.34,82.76,63.05,69.057
S1199,John,Smith,student199@university.com,Male,20,CS,57.16,42.8,89.94,83.86,96.82,84.0555
S1200,Omar,Jones,student200@university.com,Female,22,CS,77.9,55.03,87.55,74.57,86.88,74.983
S1201,Liam,Brown,student201@university.com,Female,23,Engineering,59.25,61.22,88.57,84.35,78.32,73.5945
S1202,Omar,Williams,student202@university.com,Female,22,Engineering,51.95,84.37,74.96,96.16,83.39,75.5375
S1203,Ali,Williams,student203@university.com,Male,24,Business,51.8,69.65,67.69,86.69,76.64,66.86200000000001
S1204,Maria,Brown,student204@university.com,Female,24,Business,91.58,41.72,96.67,98.06,57.38,60.660999999999994
S1205,Ahmed,Jones,student205@university.com,Female,20,Business,79.57,77.01,52.71,72.43,85.45,74.9885
S1206,Liam,Johnson,student206@university.com,Male,24,Business,67.9,64.69,57.63,76.41,74.63,64.408
S1207,Maria,Smith,student207@university.com,Female,20,CS,94.71,95.31,70.98,63.19,81.72,74.5985
S1208,Emma,Jones,student208@university.com,Female,23,Engineering,53.51,69.97,80.7,99.28,52.26,59.31649999999999
S1209,Ahmed,Davis,student209@university.com,Male,24,Engineering,99.02,82.54,50.41,52.76,57.1,66.93849999999999
S1210,Omar,Brown,student210@university.com,Male,18,Engineering,80.81,53.13,85.97,67.93,79.47,66.889
S1211,Omar,Smith,student211@university.com,Female,21,Engineering,59.17,85.66,77.94,64.88,72.97,71.279
S1212,Ahmed,Williams,student212@university.com,Female,19,Business,83.95,83.26,74.24,69.33,61.34,70.02000000000001
S1213,Omar,Johnson,student213@university.com,Male,21,CS,88.17,94.24,71.17,95.89,62.04,70.35999999999999
S1214,John,Davis,student214@university.com,Male,21,Engineering,71.47,42.03,75.97,68.4,81.58,64.644
S1215,Ahmed,Williams,student215@university.com,Female,22,Mathematics,93.08,66.85,58.09,95.85,52.95,62.018499999999996
S1216,Maria,Brown,student216@university.com,Female,20,CS,57.54,80.75,55.44,71.17,71.71,74.93100000000001
S1217,Ahmed,Smith,student217@university.com,Female,22,Mathematics,63.94,45.71,64.48,92.74,76.16,75.9055
S1218,Liam,Brown,student218@university.com,Male,23,CS,54.67,64.64,85.48,76.09,65.41,65.57499999999999
S1219,Omar,Smith,student219@university.com,Female,19,CS,60.54,96.53,79.41,65.57,91.03,75.5145
S1220,John,Jones,student220@university.com,Male,23,CS,61.94,66.16,74.01,72.47,52.84,58.897000000000006
S1221,John,Johnson,student221@university.com,Male,18,Mathematics,95.88,99.12,78.58,71.22,93.29,83.8565
S1222,Emma,Jones,student222@university.com,Male,19,Engineering,53.91,43.41,77.96,63,86.16,68.92349999999999
S1223,Maria,Jones,student223@university.com,Female,22,Engineering,71.37,83.07,65.35,64.48,72.31,74.839
S1224,Sara,Brown,student224@university.com,Female,24,Mathematics,76.62,74.86,54.87,59.32,96.22,76.14
S1225,Sara,Johnson,student225@university.com,Female,24,Engineering,94.93,70.03,94.84,66.8,85.11,81.971
S1226,Ahmed,Smith,student226@university.com,Male,22,Business,99.88,98.25,80,81.22,96.55,87.547
S1227,Emma,Smith,student227@university.com,Female,23,Engineering,87.67,47.78,84.89,69.33,73.63,75.51249999999999
S1228,Ali,Davis,student228@university.com,Male,22,Business,98.54,93.76,73.2,85.62,72.65,76.67850000000001
S1229,Ahmed,Williams,student229@university.com,Male,22,Business,89.36,81.47,87.82,99.35,76.54,73.483
S1230,Emma,Davis,student230@university.com,Male,21,Business,98.16,55.54,79.22,68.86,53.27,65.071
S1231,Maria,Davis,student231@university.com,Male,18,Mathematics,85.36,94.1,52.69,73.13,95.42,78.9025
S1232,Maria,Smith,student232@university.com,Male,24,Engineering,53.99,65.76,94.5,58.21,83.39,75.657
S1233,Maria,Brown,student233@university.com,Male,21,Engineering,70.1,88.85,65.28,69.61,80.88,71.49199999999999
S1234,Maria,Jones,student234@university.com,Female,22,Mathematics,82.33,63.33,56.89,86.34,96.32,78.38799999999999
S1235,Maria,Jones,student235@university.com,Male,20,Mathematics,67.54,91.06,54.4,60.87,99.68,78.905
S1236,Emma,Jones,student236@university.com,Female,21,Engineering,63.67,78.2,86.02,59.1,58.17,69.64150000000001
S1237,Emma,Johnson,student237@university.com,Male,22,Mathematics,78.87,48.46,85.2,68.82,87.45,69.26599999999999
S1238,John,Smith,student238@university.com,Female,24,Mathematics,96.68,78.98,85.01,90.93,79,75.3615
S1239,Liam,Brown,student239@university.com,Female,22,Business,51.75,51.48,95.79,81.18,73.05,67.216
S1240,Sara,Johnson,student240@university.com,Female,18,Mathematics,88.46,64.72,67.45,97.88,98.88,85.2475
S1241,Omar,Williams,student241@university.com,Female,23,Business,86.14,50.22,78.06,95.23,92.51,78.57300000000001
S1242,Maria,Brown,student242@university.com,Male,19,CS,98.2,41.32,80.97,57.56,84.84,65.9265
S1243,Ali,Davis,student243@university.com,Male,21,Business,96.54,52.71,98.97,52.13,69.13,60.0565
S1244,Omar,Brown,student244@university.com,Male,21,Business,88.11,72.18,65.62,69.95,83.3,72.825
S1245,Emma,Brown,student245@university.com,Male,21,Mathematics,76.02,68.89,97.82,76.1,76.58,73.0655
S1246,Ali,Jones,student246@university.com,Female,22,Engineering,60.21,70.09,57.44,75.78,62.47,72.111
S1247,Ali,Brown,student247@university.com,Female,18,CS,77.26,54.86,88.2,56.71,72.52,68.466
S1248,Ali,Davis,student248@university.com,Female,22,CS,88.27,81.11,81.64,56.24,60.61,66.55950000000001
S1249,John,Davis,student249@university.com,Male,22,CS,94.78,82.26,90.84,52.34,75.02,78.295
S1250,Emma,Smith,student250@university.com,Female,23,Engineering,89.49,61.48,51.43,92.54,86.01,69.861
S1251,Ali,Brown,student251@university.com,Male,20,CS,59.76,92.87,53.91,97.39,51.83,70.48
S1252,Maria,Jones,student252@university.com,Female,18,CS,79.98,78.64,53.48,55.78,88.27,68.4545
S1253,Ahmed,Brown,student253@university.com,Female,21,Engineering,66.61,82.78,79.65,60.66,51,74.348
S1254,Ali,Williams,student254@university.com,Female,19,CS,50.46,56.64,80.15,54.49,75.86,72.338
S1255,John,Williams,student255@university.com,Female,21,Mathematics,60.01,40.04,95.31,93.88,78.67,80.9515
S1256,Omar,Jones,student256@university.com,Female,22,Mathematics,55.66,91.92,73.38,97.94,88.06,74.65950000000001
