Student_ID,First_Name,Last_Name,Email,Gender,Age,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Operating_System,DSA,Mathematics,Computer_Network,Machine_Learning,Final_Score
S1030,Ahmed,Brown,student30@university.com,Female,22,59.64,86.31,60.61,66.37,74.39,32.5049285,33.46448209,23.19975278,32.32253697,32.93072473,30.88448502
S1031,Ali,Johnson,student31@university.com,Male,22,78.74,53.05,81.44,71.14,52.74,22.85648582,48.65774511,34.73832921,18.08696503,36.56553609,32.18101225
S1032,Maria,Smith,student32@university.com,Female,21,66.41,53.42,62.21,99.5,99.92,20.2531833,37.87084604,41.58595579,21.79317682,39.63376129,32.22738465
S1033,Sara,Williams,student33@university.com,Male,19,91.02,56.5,74.7,68.47,67.92,34.12780927,38.2206016,48.96792983,27.54611884,22.46263836,34.26501958
S1034,Emma,Davis,student34@university.com,Female,21,59.2,75.21,74.13,68.31,97.92,21.1048557,21.84189715,29.22898291,33.41151975,32.76690799,27.6708327
S1035,Ahmed,Smith,student35@university.com,Female,23,73.23,79.58,72.68,91.39,88.66,38.27183249,30.13001892,44.53534077,27.35343167,57.20169167,39.4984631
S1036,Maria,Davis,student36@university.com,Female,18,50.68,41.06,89.8,65.6,70.56,36.25667348,21.42842444,19.29107502,34.82472415,27.76537215,27.91325385
S1037,Ali,Williams,student37@university.com,Male,21,74.08,54.51,60.83,61.69,55.92,37.14000494,34.73237625,29.27171087,21.53206282,14.85152775,27.50553653
S1038,Ali,Williams,student38@university.com,Male,18,52.79,65.86,95.22,71.16,61.86,25.53485048,38.56398794,32.14093744,17.54261221,31.73180926,29.10283947
S1039,John,Johnson,student39@university.com,Female,23,98.89,59.92,89.57,85.03,83.65,33.8531738,21.16142564,31.53725106,30.58208718,18.57029702,27.14084694
S1040,John,Johnson,student40@university.com,Male,24,89.53,93.05,66.66,52.16,91.5,33.5778736,35.60784526,40.83051243,40.53802052,16.22330632,33.35551163
S1041,Omar,Smith,student41@university.com,Male,23,74.51,87.26,59.03,68.7,98.97,20.6217496,35.15035267,35.13785951,35.15047686,68.52731491,38.91755071
S1042,Sara,Davis,student42@university.com,Male,20,54.33,77.55,63.98,67.31,56.61,35.70890511,41.3556564,39.54001763,36.51391251,26.84730755,35.99315984
S1043,Liam,Williams,student43@university.com,Male,18,79.62,60.28,66.63,62.24,57.8,37.5896922,22.27174785,27.63181393,25.14636452,30.81874139,28.69167198
S1044,Maria,Smith,student44@university.com,Male,22,87.94,82.04,77.85,82.71,52.12,53.14658567,11.32734807,36.8626019,13.87284129,25.28068134,28.09801165
S1045,Maria,Brown,student45@university.com,Male,21,59.54,90.62,52.32,64.5,63.02,40.88950597,30.64280019,19.22255222,22.84696291,36.79597749,30.07955976
S1046,Liam,Smith,student46@university.com,Male,24,78.41,75.69,95.72,80.34,91.05,22.69633368,32.1645859,30.4557184,23.48399652,51.43944089,32.04801508
S1047,Omar,Jones,student47@university.com,Female,23,90.71,87.07,54.93,75.22,59.91,36.33919022,9.748574133,31.86454315,23.38213535,38.52433335,27.97175524
S1048,Emma,Smith,student48@university.com,Male,18,88.41,84.95,63.96,60.86,77.39,22.07479262,28.85263559,35.04987279,38.65755194,17.99703593,28.52637777
S1049,Emma,Jones,student49@university.com,Male,24,90.15,74.3,55.46,63.33,72.32,26.65498764,25.25054689,23.46670767,47.6545424,34.04981711,31.41532034
S1050,Omar,Jones,student50@university.com,Female,19,93.97,58.73,62.83,58.53,66.29,17.39116046,39.17861947,51.22156197,40.32465261,14.80630034,32.58445897
S1051,Emma,Jones,student51@university.com,Female,20,96.88,84.75,91.88,52.83,80.92,25.15765927,42.66911149,22.92330534,34.43819428,37.74634053,32.58692218
S1052,John,Brown,student52@university.com,Female,19,70.28,52.41,80.76,80.96,75.12,20.73069528,29.40474644,0,19.75612359,27.47431849,19.47317676
S1053,Maria,Smith,student53@university.com,Female,23,78.44,86.77,61.37,83.64,66.74,17.52216818,46.32411304,15.69858622,25.59955513,31.30740577,27.29036567
S1054,Omar,Smith,student54@university.com,Male,19,89.53,88.27,93.59,58.3,84.44,44.41273289,15.64137849,41.63163752,30.10233061,20.18491349,30.3945986
S1055,Maria,Brown,student55@university.com,Female,19,84.86,89.33,90.04,80.77,64,34.62103474,31.99059696,23.99783123,30.69802085,26.14686403,29.49086956
S1056,Liam,Williams,student56@university.com,Female,20,99.78,68.37,87.68,99.1,82.16,31.13517345,36.62130675,45.86016816,17.62184501,51.33033375,36.51376542
S1057,Ali,Johnson,student57@university.com,Male,20,50.68,51.55,92.38,53.72,97.86,10.479122,28.48214905,35.88317206,32.80991868,23.7730048,26.28547332
S1058,John,Smith,student58@university.com,Male,20,67.76,45.98,80.98,74.52,86.45,27.9187775,25.06999065,24.10635243,38.49602097,33.57015486,29.83225928
S1059,Ahmed,Johnson,student59@university.com,Male,24,64.05,84.6,75.07,86.65,70.92,23.07090405,38.99599875,33.07299521,38.12862119,36.29628842,33.91296152
S1060,John,Davis,student60@university.com,Female,20,63.12,93.18,68.7,52.3,87.38,21.71004989,24.3981896,37.47293605,36.10370265,29.79098406,29.89517245
S1061,Omar,Davis,student61@university.com,Male,19,61.13,79.05,61.19,88.91,90.46,31.17327383,42.77664896,24.08428611,35.47097381,27.97807348,32.29665124
S1062,Ahmed,Brown,student62@university.com,Female,22,85.46,48.65,77.87,98.98,66.29,27.82318797,40.98776852,38.25416349,38.13509636,43.05478807,37.65100088
S1063,Ali,Davis,student63@university.com,Male,22,54.24,96.09,94.47,54.42,85.26,30.21003842,36.81952971,26.89733243,33.24166352,28.69856946,31.17342671
S1064,Omar,Davis,student64@university.com,Male,20,87.08,99.35,79.7,91.11,71.72,30.96995965,35.95157025,21.81779317,50.92387276,19.93982619,31.9206044
S1065,Sara,Williams,student65@university.com,Female,24,84.67,66,95.98,68.93,90.93,17.85811387,41.58110874,37.91662694,36.24119817,36.28345509,33.97610056
S1066,Maria,Williams,student66@university.com,Male,21,62.54,75.69,67.85,57.21,64.77,29.87753227,21.02745629,30.75804558,23.22838288,39.75119733,28.92852287
S1067,Ali,Williams,student67@university.com,Male,18,62.64,86.63,84.76,74.66,96.89,28.52942618,21.74502803,26.78614158,34.12931454,24.36275447,27.11053296
S1068,Maria,Davis,student68@university.com,Male,23,81.44,84.18,82.43,53.58,78.74,21.77779604,32.43687211,32.44966571,24.93056825,25.28961694,27.37690381
S1069,Emma,Brown,student69@university.com,Male,24,88.11,98.07,83.52,76.11,67.67,32.32049937,15.51915659,15.92536226,22.81555779,27.86552848,22.8892209
S1070,Sara,Jones,student70@university.com,Male,21,93.82,46.89,82.25,50.97,70.97,33.10907566,44.75356217,38.57659623,28.4006147,29.80983792,34.92993734
S1071,Sara,Jones,student71@university.com,Female,23,92.61,74.84,61.08,86.43,67.39,19.97470635,29.81486864,27.11341361,33.2271856,21.72769056,26.37157295
S1072,Ali,Johnson,student72@university.com,Female,21,98.24,81.52,57.18,74.4,57.31,35.19346514,45.32738913,28.91239852,34.01711722,36.90143992,36.07036199
S1073,Sara,Jones,student73@university.com,Male,21,79.07,93.41,98.93,72.95,53.42,25.98779528,32.24092482,30.12592401,30.97676099,22.26990216,28.32026145
S1074,Ahmed,Jones,student74@university.com,Female,22,95.43,92.45,52.26,59.81,66.09,30.24510174,34.97998291,44.51143608,39.59270826,51.53182458,40.17221071
S1075,Sara,Williams,student75@university.com,Female,18,90.43,98.68,73.39,68.06,72.93,22.32652437,38.72320637,31.83342006,51.89802933,21.91701715,33.33963945
S1076,Maria,Williams,student76@university.com,Female,21,94.73,70.72,71.25,59.09,68.09,21.60278158,24.00607355,8.761042757,24.74244978,22.40867338,20.30420421
S1077,Maria,Davis,student77@university.com,Male,20,50.58,89.85,68,86.77,50.7,31.50393786,33.41755976,48.76170839,39.50423838,24.23096344,35.48368157
S1078,Omar,Johnson,student78@university.com,Male,23,98.3,65.64,89.1,59.95,78.95,21.01585329,34.91919172,16.79766793,48.31458766,41.79440121,32.56834036
S1079,Maria,Smith,student79@university.com,Male,24,73.68,65.34,87.27,80.84,57.24,25.30824348,12.86865471,43.53872374,28.85460155,42.37816312,30.58967732
S1080,Omar,Johnson,student80@university.com,Female,22,89.91,55.2,95.26,63.98,60.55,14.05572341,24.00624977,30.052437,30.46980594,25.49934529,24.81671228
S1081,Maria,Johnson,student81@university.com,Female,23,56.36,89.09,69.77,82.85,56.04,36.22849932,19.32379571,28.57620515,31.20295632,35.14438834,30.09516897
S1082,Ahmed,Brown,student82@university.com,Male,20,69.8,99.15,78.21,77.02,76.02,37.11614878,18.75357908,14.65885829,42.77676822,33.32314012,29.3256989
S1083,Liam,Davis,student83@university.com,Male,20,63.57,55.38,94.62,71.17,54.76,22.51513463,45.51151976,31.15674634,41.79297184,30.67518481,34.33031148
S1084,Omar,Brown,student84@university.com,Female,21,64.58,43.37,99.69,83.65,62.82,50.60747925,47.55340842,27.51035852,39.71570951,36.4537595,40.36814304
S1085,John,Johnson,student85@university.com,Female,20,56.16,88.93,98.46,70.79,72.59,43.68631558,20.35076539,36.8605146,40.58424487,12.41260514,30.77888911
S1086,Emma,Johnson,student86@university.com,Male,18,90.29,77.21,85.89,91.07,58.39,18.16741487,9.607678222,27.30593166,37.17542256,45.02357052,27.45600357
S1087,Ali,Johnson,student87@university.com,Female,20,50.46,97.58,57.16,86.48,72.31,30.7409478,46.28615546,16.19898542,12.96617561,29.44452301,27.12735746
S1088,Maria,Jones,student88@university.com,Female,21,65.63,55.13,51.16,77.03,67.14,33.84065449,29.67305252,9.325579,29.1087996,16.95530499,23.78067812
S1089,Sara,Brown,student89@university.com,Female,23,58.72,44.26,91.26,93.85,93.03,36.69672549,33.66598246,20.60120214,24.86133083,19.40786478,27.04662114
S1090,Liam,Johnson,student90@university.com,Female,20,79.45,69.55,92.05,91.44,89.75,29.37320903,39.55142321,20.14273954,35.04046516,24.69742382,29.76105215
S1091,Maria,Williams,student91@university.com,Female,22,62.71,45.13,87.32,76.59,99.64,22.07127168,28.9296964,19.64757678,24.46350695,18.02122107,22.62665457
S1092,Sara,Davis,student92@university.com,Female,24,62.95,55.71,64,53.42,76.45,49.64725133,30.35263552,23.00274492,32.13979911,28.8767195,32.80383008
S1093,Emma,Davis,student93@university.com,Female,22,74.42,47.56,81.99,78.3,78.77,27.790304,36.141667,37.5750771,24.69498852,24.24181759,30.08877084
S1094,Emma,Williams,student94@university.com,Male,22,82.63,53.45,65.81,67.76,97.33,27.24948303,6.980788353,14.84808938,43.66874267,46.44967714,27.83935611
S1095,Emma,Davis,student95@university.com,Male,23,56.07,46.37,72.53,77.01,69.98,27.5096396,35.76556963,33.11250155,60.78880808,41.19574911,39.6744536
S1096,Sara,Jones,student96@university.com,Female,19,58.78,97.23,69.12,82.36,77.78,28.72082409,20.44459559,13.9355368,32.03463636,22.43649255,23.51441708
S1097,Maria,Jones,student97@university.com,Female,24,62.36,56.71,95.68,82.24,68.95,15.7774629,23.53427116,19.18451996,46.87141635,38.81639757,28.83681359
S1098,Emma,Smith,student98@university.com,Female,22,98.69,66.63,61.71,83.68,77.29,29.92027359,44.79944139,30.77368308,21.38715799,45.23124077,34.42235936
S1099,Ahmed,Smith,student99@university.com,Male,22,69.86,93.92,78.88,83.96,54.04,35.38910044,19.62753846,28.09661322,21.24381747,16.17200269,24.10581445
S1100,Omar,Smith,student100@university.com,Male,19,79.95,80.64,68.05,55.46,89.19,39.26177548,49.0941664,16.01432426,35.62969237,23.49357431,32.69870656
S1101,Sara,Davis,student101@university.com,Female,23,62.08,77.08,83.15,59.59,99.26,25.12874616,24.07606076,21.3600923,30.48521628,21.69049884,24.54812287
S1102,Sara,Jones,student102@university.com,Male,24,74.52,82.33,78.23,81.53,53.29,32.70456826,29.49761891,27.61051953,20.92436338,24.23228669,26.99387135
S1103,Maria,Jones,student103@university.com,Female,22,53.71,89.73,96.2,70.41,90.05,37.55391226,35.00917188,20.22444755,30.99332305,37.51387123,32.25894519
S1104,Sara,Jones,student104@university.com,Female,21,51.74,92.66,55.08,88.14,62.09,13.30594719,35.43360192,23.37376241,35.70598669,22.36740843,26.03734133
S1105,Sara,Williams,student105@university.com,Female,23,73.44,78.56,61.03,56.25,59.88,11.95117899,13.72457562,30.48084947,32.59722502,20.95683375,21.94213257
S1106,Emma,Jones,student106@university.com,Female,24,69.93,93.4,88.32,59.58,84.67,36.38592459,13.38479938,29.33920201,17.889838,23.48163892,24.09628058
S1107,Maria,Williams,student107@university.com,Female,22,56.84,72.12,68.44,77.92,52.21,30.47398671,21.39586635,26.15444456,40.06292809,24.2310813,28.4636614
S1108,Emma,Smith,student108@university.com,Female,22,84.38,56.64,58.29,75.04,73.16,38.35692112,18.70293145,35.29804178,44.41568621,5.283554999,28.41142711
S1109,Omar,Smith,student109@university.com,Female,19,99.65,92.8,75.17,63.32,50.07,22.03104745,35.77072127,27.96954614,33.71145873,23.96014813,28.68858434
S1110,Liam,Davis,student110@university.com,Male,24,69.78,72.49,82.61,70.42,77.72,30.86589787,28.44322765,41.67782062,32.54420843,33.37602662,33.38143624
S1111,Omar,Smith,student111@university.com,Female,21,81.23,94.37,52.24,51.75,73.1,25.88123034,25.12393776,25.67441812,33.94452142,25.79015519,27.28285257
S1112,Liam,Davis,student112@university.com,Male,23,98.15,42.41,64.58,51.85,95.77,32.89774857,50.75400799,38.71124703,26.73976468,42.01213922,38.2229815
S1113,Emma,Johnson,student113@university.com,Female,20,91.58,63.85,90.47,54.75,86.01,25.91924627,9.618754648,19.91913689,11.29208079,26.48486516,18.64681675
S1114,Omar,Johnson,student114@university.com,Female,18,73.18,96.87,76.01,78.84,56.3,30.18418379,46.76437312,33.26927374,27.80899471,38.29405581,35.26417624
S1115,Maria,Brown,student115@university.com,Male,21,86.87,54.98,51.77,93.19,67.73,7.88864691,32.35614558,37.70865194,15.21413754,41.43754043,26.92102448
S1116,Ali,Davis,student116@university.com,Male,20,56.41,96.49,64.1,63.01,96.58,33.38496407,25.84712086,36.32781866,52.70692858,31.81866255,36.01709895
S1117,Emma,Brown,student117@university.com,Female,21,75.61,97.23,81.96,51.7,86.27,32.48220586,25.406391,21.50155631,38.30335817,21.43916174,27.82653462
S1118,Liam,Brown,student118@university.com,Male,24,63.95,92.93,59.97,85.43,79.71,30.71566237,25.22342553,34.78979826,33.33662105,40.37539944,32.88818133
S1119,Ahmed,Johnson,student119@university.com,Female,20,58.06,73.82,91.37,92.77,77.95,24.89983601,27.30125065,20.21236284,25.5570674,33.77300493,26.34870437
S1120,Liam,Davis,student120@university.com,Female,24,71.31,78.82,83.83,56.91,69.9,37.56988617,20.77834676,38.6960592,43.55637859,34.13434903,34.94700395
S1121,Ahmed,Johnson,student121@university.com,Male,20,56.55,92.18,73.57,69.29,79.26,48.76795813,22.26210801,17.55345297,12.21279751,44.96044311,29.15135195
S1122,Sara,Brown,student122@university.com,Male,21,84.95,86.55,95.78,57.94,88.58,36.54365656,29.44415329,32.79968626,18.74510953,54.4575198,34.39802509
S1123,Omar,Davis,student123@university.com,Male,19,72.81,77.81,69.59,55.32,56.38,31.29221182,31.09394795,37.25766624,34.81009232,32.23884024,33.33855171
S1124,Ahmed,Brown,student124@university.com,Male,21,76.56,98.94,61.75,82.41,98.49,22.09525545,34.71468357,48.82024496,43.45420046,45.93186627,39.00325014
S1125,Liam,Jones,student125@university.com,Female,24,57.32,81.14,83.07,98.38,61.97,24.88784324,20.1039518,28.7421308,30.55724912,40.94191518,29.04661803
S1126,Sara,Davis,student126@university.com,Male,21,56.99,98.53,78.66,83.91,72.39,13.0753537,45.29550319,28.41992101,25.7311893,19.87895625,26.48018469
S1127,Ali,Davis,student127@university.com,Male,20,79.17,43.44,66.76,99.24,51.14,13.45143328,38.23170584,30.73317967,17.100391,17.04921228,23.31318441
S1128,Maria,Brown,student128@university.com,Male,18,99.25,48.34,67.18,71.72,77.52,26.64215301,46.69021525,27.40408649,14.96857047,27.54256936,28.64951891
S1129,Maria,Jones,student129@university.com,Male,20,54.81,67.09,69.91,94.89,69.09,27.2727643,3.031133571,29.45705133,27.6906547,36.96206365,24.88273351
S1130,Maria,Williams,student130@university.com,Male,22,64.29,63.09,64.56,60.25,62.49,48.48956095,41.2656503,27.31111309,18.93474091,55.73359803,38.34693266
S1131,Ahmed,Johnson,student131@university.com,Female,21,93.47,86.96,85.51,55.9,99.28,30.59218434,30.13929292,29.75874913,31.98084761,28.55639588,30.20549398
S1132,Ali,Brown,student132@university.com,Female,23,53.61,49.64,82.57,85.13,71.41,24.26337993,24.53141059,29.6724673,24.56575229,22.87154217,25.18091046
S1133,Ahmed,Davis,student133@university.com,Male,21,93.79,98.57,72.04,68.57,70.71,31.06430228,27.45022783,45.03992989,3.490301916,40.91506852,29.59196608
S1134,Omar,Johnson,student134@university.com,Male,19,76.21,58.9,69.89,65.88,73.16,42.46085192,9.266097676,26.57312406,26.28559134,15.92488305,24.10210961
S1135,Ahmed,Johnson,student135@university.com,Female,24,70.41,65.74,68.25,83.56,55.81,22.22183312,18.89424155,47.52270443,39.35678393,42.71555095,34.1422228
S1136,Ali,Johnson,student136@university.com,Male,23,65.48,56.48,64.17,66.67,69.65,37.21672064,18.70948229,24.75479734,34.89374561,17.77872191,26.67069356
S1137,Ali,Williams,student137@university.com,Female,20,64.86,74.76,54.28,78.63,66.82,37.1299843,27.59674602,26.25179192,37.10959968,34.44263311,32.50615101
S1138,Omar,Smith,student138@university.com,Female,19,65.29,43.52,63.41,64.97,73.26,26.39033834,41.59329803,19.18936672,36.15935607,35.93101258,31.85267435
S1139,Ali,Brown,student139@university.com,Male,21,94.24,48.98,66.06,89.19,92.83,26.90453561,33.26133022,17.48886424,39.24027019,28.15097864,29.00919578
S1140,Liam,Smith,student140@university.com,Female,20,86.19,84.75,77.38,65.62,59.64,24.77276979,40.49009226,22.95656309,15.91538704,14.43370826,23.71370409
S1141,Ali,Smith,student141@university.com,Male,20,83.49,51.19,88.69,76.75,80.39,36.06009951,17.19570648,47.54794182,9.180705921,46.96456368,31.38980348
S1142,Maria,Smith,student142@university.com,Male,22,89.94,54.13,69.79,51.16,51.88,32.11017467,29.03286888,24.55080913,33.99136114,29.62365298,29.86177336
S1143,Liam,Johnson,student143@university.com,Female,22,62.86,87.58,97.24,89.59,65.84,41.03301882,31.14227649,31.50301761,26.36387788,29.43054376,31.89454691
S1144,Liam,Jones,student144@university.com,Female,18,80.9,45.6,91.37,81.02,73.63,33.07801769,12.89831607,16.51814578,37.43264094,31.70865438,26.32715497
S1145,Omar,Johnson,student145@university.com,Male,22,73,66.25,99.24,59.61,53.71,28.16016664,30.18433933,33.47581705,24.6024032,22.21695275,27.72793579
S1146,John,Johnson,student146@university.com,Female,24,89.12,41.38,93.81,60.77,77.2,31.95845255,20.21627222,34.08252756,12.97416396,40.29155637,27.90459453
S1147,John,Davis,student147@university.com,Male,23,65.46,60.81,80.84,63.12,65.52,34.72597482,32.56029734,39.82690984,46.65474444,40.14370065,38.78232542
S1148,Ali,Davis,student148@university.com,Female,20,82.16,81.94,79.92,78.83,99.64,11.59125769,17.20423033,23.75181422,30.2609105,35.1765902,23.59696059
S1149,Liam,Smith,student149@university.com,Female,22,94.11,45.41,56.48,77.42,81.55,22.74256187,31.86766764,22.44617068,23.88482197,15.93338903,23.37492224
S1150,John,Johnson,student150@university.com,Male,18,70.11,93.3,86.12,63.69,62.21,20.76766754,16.48315394,20.24126747,40.53641797,20.50601111,23.70690361
S1151,John,Smith,student151@university.com,Male,21,53.33,94.57,80.01,84.7,55.13,56.32382065,34.93317901,31.84836124,21.4164222,37.00309879,36.30497638
S1152,Ali,Davis,student152@university.com,Male,23,75.8,46.3,75.35,94.45,52.04,24.24362174,31.22009815,55.60084538,29.039401,41.49273326,36.31933991
S1153,John,Jones,student153@university.com,Female,22,67.3,99.44,84.66,52.18,54.54,22.96823575,29.6501151,47.70800636,23.73032942,48.12448558,34.43623444
S1154,Ahmed,Brown,student154@university.com,Male,20,83.61,57.85,72.2,70.86,84,37.07751935,24.37533224,36.32407739,39.7255445,36.21809962,34.74411462
S1155,Sara,Smith,student155@university.com,Male,21,97.55,45.05,76.19,79.68,92.75,14.2977528,22.72862824,27.52481364,29.25566571,36.20672098,26.00271627
S1156,Omar,Jones,student156@university.com,Female,24,74.28,40.3,69.92,79.32,57.84,31.77701001,16.64655641,33.80197851,36.10585745,35.59790448,30.78586137
S1157,Sara,Brown,student157@university.com,Female,20,73.31,64.51,85.87,50.98,70.11,40.80780726,38.33922155,34.59180079,29.29834289,13.39039066,31.28551263
S1158,Ali,Williams,student158@university.com,Male,21,82.73,77.79,93.83,60.53,67.71,34.29618219,32.07687687,32.71578837,17.23251424,19.1894346,27.10215925
S1159,Maria,Smith,student159@university.com,Male,24,55.17,59.93,92.04,53.09,82.23,40.53152853,29.60444846,36.81500697,30.28318376,30.29756139,33.50634582
S1160,Omar,Smith,student160@university.com,Male,24,62.68,90.2,89.3,78.45,59.13,39.38283806,24.83955272,30.96120777,25.37724711,25.65503773,29.24317668
S1161,Ali,Williams,student161@university.com,Male,23,95.95,83,50.69,82.27,97.67,26.90827877,32.22133772,25.21251378,42.55756126,21.05392698,29.5907237
S1162,Liam,Williams,student162@university.com,Female,20,83.5,61.01,95.59,57.99,86.43,28.13128356,25.60268942,44.46977884,31.96554777,40.31844539,34.097549
S1163,Maria,Smith,student163@university.com,Female,22,50.67,84.06,63.74,66.65,97.75,15.14439627,32.67050266,38.89630796,30.82283989,40.65480375,31.63777011
S1164,Sara,Williams,student164@university.com,Male,22,60.23,96.43,94.4,66.49,63.87,24.8271155,44.0934744,52.98898124,26.3716144,25.54497479,34.76523206
S1165,Ali,Johnson,student165@university.com,Male,18,84.14,45.59,59.85,90.99,79.39,44.53384477,45.79572146,24.77139973,25.79813183,27.18215391,33.61625034
S1166,Liam,Brown,student166@university.com,Male,21,88.22,58.37,71.98,59.73,86.61,16.55549489,20.81348054,19.95859233,22.32202435,29.65315113,21.86054865
S1167,Omar,Brown,student167@university.com,Female,18,91.99,67.8,87.47,77.42,85.55,32.34214733,45.50500493,20.01645959,39.84322398,27.86011156,33.11338948
S1168,Omar,Brown,student168@university.com,Male,19,64.61,69.88,82.01,89.15,51.07,29.5053629,36.74819492,18.77277978,33.82409746,31.66452208,30.10299143
S1169,Emma,Johnson,student169@university.com,Male,22,96.55,72.53,70.8,91.48,99.91,34.92451264,32.89168644,54.5530014,23.62260016,24.69003045,34.13636622
S1170,Liam,Williams,student170@university.com,Female,21,77.65,58.04,83.93,83.33,96.4,23.76859474,24.44522881,23.62612873,41.89016531,44.20504248,31.58703201
S1171,Ahmed,Jones,student171@university.com,Female,23,84.83,80.04,77.45,64.98,55.99,24.29253706,21.67644427,34.71415556,24.47776956,36.32931818,28.29804493
